Channel,Minimum,Maximum,Mean,RMS,Variance,Standard Deviation,Power,Peak,Peak-to-Peak,Crest Factor,Skew,Kurtosis,Max_F,Sum_F,Mean_F,Variance_F,Peak_F,Skew_F,Kurtosis_F
25,-5.6391096115112305,6.401358604431152,1.754760781125242e-09,0.8707350492477417,0.7581659555435181,0.8707272410392761,0.7581795454025269,6.401358604431152,12.040468215942383,7.3516721417858495,0.21809426366594373,2.0101614543420734,397.77616,75817.96155381485,0.7581796155381485,28.14906636295761,397.77616,30.624585394856126,1391.6324647892027
26,-8.372722625732422,13.44668960571289,-2.975463875287687e-09,1.468705177307129,2.157043695449829,1.4686877727508545,2.157094955444336,13.44668960571289,21.819412231445312,9.15547232588054,0.5653592861374763,3.9542612319954307,5136.18752,215709.50904980573,2.157095090498057,894.7933067605363,5136.18752,109.0445803912345,17561.894934790605
27,-7.089362621307373,9.255037307739258,9.15527320621834e-10,1.147080898284912,1.3157776594161987,1.14707350730896,1.3157947063446045,9.255037307739258,16.34440040588379,8.068338790731472,0.3651594597604434,2.376432980785161,1389.10096,131579.48174455386,1.3157948174455387,165.39155864140633,1389.10096,49.266353322949776,3876.6325286338115
28,-6.949765205383301,9.258954048156738,1.6784668099845135e-09,1.1830229759216309,1.3995245695114136,1.183014988899231,1.399543285369873,9.258954048156738,16.20871925354004,7.826520901627946,0.4178855966064437,2.5802522636671794,2056.324,139954.3423919616,1.399543423919616,279.6969612509762,2056.324,55.11575915195848,5174.473632190418
29,-7.199123859405518,7.022665500640869,-2.9373168342061717e-09,1.0213065147399902,1.0430477857589722,1.0212970972061157,1.0430670976638794,7.199123859405518,14.221789360046387,7.048935608952137,0.0521945072184502,2.0073383596348737,690.78728,104306.71944423777,1.0430671944423777,39.881724100831924,690.78728,46.1545051251599,3610.0226474992114
30,-5.932447910308838,6.393348217010498,-4.959106458812812e-10,0.9912399649620056,0.9825352430343628,0.9912291765213013,0.9825566411018372,6.393348217010498,12.325796127319336,6.449849121302889,0.08189829833165224,1.0422898029608865,672.25424,98255.67710100034,0.9825567710100034,24.66361526495752,672.25424,63.80436948948768,7180.842075323876
31,-6.685300827026367,12.702376365661621,2.7465820728878043e-09,1.0440101623535156,1.0899487733840942,1.044006109237671,1.0899571180343628,12.702376365661621,19.387676239013672,12.166908736814028,0.5201199515110825,4.642419858196297,1087.6284,108995.70799030186,1.0899570799030187,89.22652100134194,1087.6284,48.33941461503454,4179.359796591259
Fp1,-28.498400000000007,30.7427,-8.981836929947348e-06,5.429078155061216,29.474889613682,5.429078155053766,29.474889613762898,30.7427,59.2411,5.662600375597901,-1.3769678678807864,3.0575653815880104,15566.801339205083,2947488.96137629,29.474889613762898,101155.86286083145,15566.801339205083,21.671049720126323,634.4463162531649
Fp2,-31.120100000000008,36.2103,-1.6952158944128543e-05,5.837540896155935,34.07688371400587,5.837540896131338,34.07688371429304,36.2103,67.3304,6.203005793731528,-1.3047376157329504,2.905481276063682,18455.551651936337,3407688.371429304,34.07688371429304,140267.2841045434,18455.551651936337,21.866740556730893,640.8833832511301
Fz,-14.856799999999996,20.0836,-4.850839457917289e-06,3.117036967826569,9.715919458773943,3.117036967822798,9.71591945879745,20.0836,34.9404,6.443170295154949,-1.079407255576993,2.651166268163772,5283.132434982387,971591.9458797448,9.715919458797448,11570.683808096232,5283.132434982387,21.877605849853442,640.6214817888981
F3,-21.593900000000005,22.4352,-2.1993146780874894e-05,4.027128061173396,16.21776042060644,4.027128061113333,16.217760421090198,22.4352,44.0291,5.571017275637117,-1.1651705808069308,2.6254542155680616,7944.262318971712,1621776.04210902,16.2177604210902,29138.65838096289,7944.262318971712,21.023151334088624,582.4433757167267
F4,-10.3831,13.978200000000001,-2.997575082078228e-05,1.9609936818205413,3.8454962192415754,1.9609936815914464,3.845496220140083,13.978200000000001,24.3613,7.128120875444617,-0.854859803691283,2.6539688898143305,2120.675280605265,384549.62201400823,3.8454962201400824,1684.2986865435387,2120.675280605265,22.904845561966255,702.8446437527531
F7,-14.6387,12.735,-3.678623805649153e-05,2.393801894825012,5.730287510314566,2.3938018945423547,5.730287511667819,14.6387,27.3737,6.11525123764266,-0.8974014971766535,2.800461942033728,3154.489704780946,573028.7511667819,5.730287511667819,3852.3337725472047,3154.489704780946,21.71329739199419,635.1824038412542
F8,-20.0793,16.6638,7.200094391850698e-06,2.2929340069325193,5.257546360095868,2.2929340069212345,5.257546360147619,20.0793,36.7431,8.757033538379952,-0.5073015564549409,11.031368676185012,5654.901201258412,525754.636014762,5.25754636014762,5366.184454039268,5654.901201258412,30.326237427939443,1357.91271025876
FC1,-7.893740000000003,8.73754,-3.0850600525309345e-06,1.6606337212467095,2.7577043561321903,1.660633721243848,2.757704356141694,8.73754,16.631280000000004,5.2615696575403454,-0.8118478679723197,1.6323803753294932,1346.1324159530432,275770.43561416946,2.7577043561416947,857.5574880414978,1346.1324159530432,21.247825551316534,598.3025688532042
FC2,-24.093300000000003,16.3452,-9.73053811027114e-06,3.4017298950719015,11.571766278931204,3.401729895057984,11.57176627902589,24.093300000000003,40.438500000000005,7.082661099843364,0.7220729200963898,2.574183105194023,5739.30747403456,1157176.627902589,11.57176627902589,16628.571690707195,5739.30747403456,22.619714601502913,675.3068520610257
FC5,-16.1849,22.4939,3.388431256538411e-05,2.6336679399941727,6.936206817004936,2.6336679397761853,6.936206818153149,22.4939,38.678799999999995,8.540902085040292,-0.4159246660317878,2.5514743770089643,5937.913983930974,693620.6818153149,6.936206818153149,4727.7194248602,5937.913983930974,28.326345065954534,1478.9529263292861
FC6,-16.0462,13.544599999999999,4.036243460700007e-05,2.3636879829974764,5.587020879337553,2.3636879826528614,5.587020880966678,16.0462,29.590799999999998,6.788628666483825,-0.48871872821996537,4.325106546018915,4998.459018664727,558702.0880966677,5.587020880966676,4754.124285451098,4998.459018664727,29.58332433308536,1296.8727456782615
Cz,-6.80049,9.23198,-5.320942230770243e-07,1.559702954880462,2.4326733074625664,1.559702954880373,2.4326733074628444,9.23198,16.03247,5.919062967158098,-0.1700894738441954,1.4414544695842517,1790.9191820081478,243267.33074628445,2.4326733074628444,778.8437482793364,1790.9191820081478,26.69900867523383,1029.096736338852
C3,-16.397200000000005,11.7613,9.691356830522294e-06,1.3733477274878387,1.8860839805020866,1.3733477274536434,1.886083980596011,16.397200000000005,28.158500000000004,11.939583596933725,-0.4553233153046373,3.8140719716484517,1371.159350685846,188608.39805960114,1.8860839805960115,295.13713396209204,1371.159350685846,27.912506453149668,1280.1546117634414
C4,-16.7707,14.2952,-1.3557221561745222e-05,2.38304865246134,5.6789208798140605,2.383048652422787,5.678920879997809,16.7707,31.0659,7.037497947294666,-0.38953078203922553,3.066712345108601,4683.237296408951,567892.0879997809,5.678920879997809,4040.9897963942335,4683.237296408951,27.678718695313922,1184.4704420286957
T3,-17.04,24.6069,-1.6720312977711272e-05,1.867814231674668,3.4887300037667694,1.8678142315998048,3.4887300040464306,24.6069,41.6469,13.174168813318035,0.23712376105885438,5.268073492357198,4534.968819398896,348873.000404643,3.48873000404643,1320.891066472075,4534.968819398896,55.84784905166231,5437.269304290688
T4,-15.4568,13.3045,-1.9810472372074627e-05,1.800542008266457,3.2419515231397837,1.8005420081574837,3.2419515235322063,15.4568,28.7613,8.58452617547182,-0.06984307594778527,3.34940717803031,2307.3375329849873,324195.1523532206,3.2419515235322063,980.5410936885231,2307.3375329849873,31.728107816556083,1496.142509124817
A1,-45.125600000000006,43.8017,-3.150552958896625e-05,3.60087983644376,12.966335595514963,3.6008798363059773,12.96633559650724,45.125600000000006,88.9273,12.531826122963933,0.43000930366717954,23.30219589991754,11483.960578064196,1296633.559650724,12.96633559650724,38521.17505091898,11483.960578064196,31.691474357096563,1268.1916463168902
A2,-14.528399999999998,14.3698,-3.0922633706458668e-06,2.1889878544401653,4.791667826876994,2.188987854437981,4.791667826886559,14.528399999999998,28.898199999999996,6.6370400231003766,0.15100821868190104,4.117926689929042,3755.330347532404,479166.7826886559,4.791667826886559,3544.244355404564,3755.330347532404,29.683107671607157,1240.7666916363735
CP1,-6.667649999999999,12.6563,-1.521042838963318e-06,0.8820700405582049,0.7780475564480288,0.8820700405568873,0.7780475564503533,12.6563,19.32395,14.348407062993148,1.2914124342130895,21.181685851812546,793.774747839524,77804.75564503536,0.7780475564503536,131.10842905002917,793.774747839524,34.044830017746754,1571.1211203492853
